Date,Company,Industry,Risk Type,Risk Rating,Mitigation Strategy,First Name,Last Name,Email,Phone Number
18-01-2020,LMN Enterprises,Finance,Financial Risk,Medium,Risk Reduction,Sophia,Brown,sophia.brown@test.org,1-100-712-4811
22-09-2011,LMN Enterprises,Healthcare,Operational Risk,Medium,Risk Transfer,William,Smith,william.smith@example.com,1-995-405-4847
29-12-2022,XYZ Corporation,Retail,Financial Risk,Low,Risk Reduction,Emma,Johnson,emma.johnson@domain.com,1-690-912-5997
24-10-2018,EFG Co.,Manufacturing,Strategic Risk,Low,Risk Acceptance,William,Johnson,william.johnson@domain.com,1-838-442-4670
08-06-2014,EFG Co.,Manufacturing,Strategic Risk,Low,Risk Avoidance,John,Johnson,john.johnson@test.org,1-854-768-9219
23-05-2023,LMN Enterprises,Technology,Operational Risk,Medium,Risk Avoidance,John,Johnson,john.johnson@example.com,1-773-607-7827
18-08-2019,EFG Co.,Retail,Reputational Risk,High,Risk Reduction,Sophia,Johnson,sophia.johnson@example.com,1-377-699-1213
24-09-2016,LMN Enterprises,Finance,Strategic Risk,Medium,Risk Reduction,John,Brown,john.brown@company.com,1-739-395-7833
15-02-2019,LMN Enterprises,Technology,Compliance Risk,Low,Risk Reduction,William,Brown,william.brown@company.com,1-518-915-8743
30-07-2022,XYZ Corporation,Healthcare,Strategic Risk,Medium,Risk Acceptance,Emma,Johnson,emma.johnson@domain.com,1-250-606-5018
28-08-2010,EFG Co.,Healthcare,Strategic Risk,High,Risk Reduction,Sophia,Brown,sophia.brown@example.com,1-951-496-8329
16-03-2019,EFG Co.,Technology,Compliance Risk,Low,Risk Reduction,William,Brown,william.brown@website.net,1-894-560-2372
05-04-2019,PQR Limited,Technology,Reputational Risk,High,Risk Avoidance,Michael,Brown,michael.brown@website.net,1-132-991-6896
21-12-2013,ABC Inc.,Manufacturing,Operational Risk,Low,Risk Acceptance,John,Johnson,john.johnson@test.org,1-700-919-4957
13-07-2015,PQR Limited,Retail,Strategic Risk,High,Risk Reduction,William,Williams,william.williams@company.com,1-819-815-1578
10-06-2014,PQR Limited,Manufacturing,Strategic Risk,Medium,Risk Reduction,William,Brown,william.brown@example.com,1-809-507-7481
28-04-2018,XYZ Corporation,Retail,Strategic Risk,Low,Risk Acceptance,Sophia,Brown,sophia.brown@test.org,1-630-442-9196
27-07-2017,LMN Enterprises,Manufacturing,Reputational Risk,Medium,Risk Transfer,William,Brown,william.brown@test.org,1-748-125-8339
07-06-2014,XYZ Corporation,Healthcare,Financial Risk,Low,Risk Acceptance,Emma,Williams,emma.williams@company.com,1-158-223-8306
28-10-2015,ABC Inc.,Healthcare,Reputational Risk,Low,Risk Avoidance,Emma,Williams,emma.williams@domain.com,1-480-170-7458
