Date,Company,Industry,Risk Type,Risk Rating,Mitigation Strategy,First Name,Last Name,Email,Phone Number
2020-01-18,LMN Enterprises,Finance,Financial Risk,Medium,Risk Reduction,Sophia,Brown,sophia.brown@test.org,+1-100-712-4811
2011-09-22,LMN Enterprises,Healthcare,Operational Risk,Medium,Risk Transfer,William,Smith,william.smith@example.com,+1-995-405-4847
2022-12-29,XYZ Corporation,Retail,Financial Risk,Low,Risk Reduction,Emma,Johnson,emma.johnson@domain.com,+1-690-912-5997
2018-10-24,EFG Co.,Manufacturing,Strategic Risk,Low,Risk Acceptance,William,Johnson,william.johnson@domain.com,+1-838-442-4670
2014-06-08,EFG Co.,Manufacturing,Strategic Risk,Low,Risk Avoidance,John,Johnson,john.johnson@test.org,+1-854-768-9219
2023-05-23,LMN Enterprises,Technology,Operational Risk,Medium,Risk Avoidance,John,Johnson,john.johnson@example.com,+1-773-607-7827
2019-08-18,EFG Co.,Retail,Reputational Risk,High,Risk Reduction,Sophia,Johnson,sophia.johnson@example.com,+1-377-699-1213
2016-09-24,LMN Enterprises,Finance,Strategic Risk,Medium,Risk Reduction,John,Brown,john.brown@company.com,+1-739-395-7833
2019-02-15,LMN Enterprises,Technology,Compliance Risk,Low,Risk Reduction,William,Brown,william.brown@company.com,+1-518-915-8743
2022-07-30,XYZ Corporation,Healthcare,Strategic Risk,Medium,Risk Acceptance,Emma,Johnson,emma.johnson@domain.com,+1-250-606-5018
2010-08-28,EFG Co.,Healthcare,Strategic Risk,High,Risk Reduction,Sophia,Brown,sophia.brown@example.com,+1-951-496-8329
2019-03-16,EFG Co.,Technology,Compliance Risk,Low,Risk Reduction,William,Brown,william.brown@website.net,+1-894-560-2372
2019-04-05,PQR Limited,Technology,Reputational Risk,High,Risk Avoidance,Michael,Brown,michael.brown@website.net,+1-132-991-6896
2013-12-21,ABC Inc.,Manufacturing,Operational Risk,Low,Risk Acceptance,John,Johnson,john.johnson@test.org,+1-700-919-4957
2015-07-13,PQR Limited,Retail,Strategic Risk,High,Risk Reduction,William,Williams,william.williams@company.com,+1-819-815-1578
2014-06-10,PQR Limited,Manufacturing,Strategic Risk,Medium,Risk Reduction,William,Brown,william.brown@example.com,+1-809-507-7481
2018-04-28,XYZ Corporation,Retail,Strategic Risk,Low,Risk Acceptance,Sophia,Brown,sophia.brown@test.org,+1-630-442-9196
2017-07-27,LMN Enterprises,Manufacturing,Reputational Risk,Medium,Risk Transfer,William,Brown,william.brown@test.org,+1-748-125-8339
2014-06-07,XYZ Corporation,Healthcare,Financial Risk,Low,Risk Acceptance,Emma,Williams,emma.williams@company.com,+1-158-223-8306
2015-10-28,ABC Inc.,Healthcare,Reputational Risk,Low,Risk Avoidance,Emma,Williams,emma.williams@domain.com,+1-480-170-7458
